Región	Hotspot	Tipo de costa	Temporada	Promedio de individuos	Promedio límite inferior	Promedio límite superior	Distancia avistamiento (km)	Densidad lineal	Densidad lineal límite inferior	Densidad lineal límite superior	Latitud	Longitud
Arica y Parinacota	Playa Las Machas--norte	ARENA	Reproductiva	31.77777778	13.11111111	58	1	31.77777778	13.11111111	58	-18.4014191	-70.3342702
Arica y Parinacota	Río Lluta--Pastizales norte	ARENA	No reproductiva	1.197802198	0.417582418	2.131593407	1	1.197802198	0.417582418	2.131593407	-18.4017286	-70.3289151
Arica y Parinacota	Río Lluta--Pastizales norte	ARENA	Reproductiva	2.040540541	1.101351351	3.195777027	1	2.040540541	1.101351351	3.195777027	-18.4017286	-70.3289151
Arica y Parinacota	Gallinazo bajo	ARENA	No reproductiva	0.1	0	0.3	1	0.1	0	0.3	-18.4135362	-70.3133798
Arica y Parinacota	Río Lluta--Desembocadura	ESTUARIO	No reproductiva	45.52025316	39.90762658	51.74075949	0.75	60.69367089	53.21016878	68.98767932	-18.4165392	-70.3224081
Arica y Parinacota	Río Lluta--Desembocadura	ESTUARIO	Reproductiva	45.46916667	40.48091667	50.38897917	0.75	60.62555556	53.97455556	67.18530556	-18.4165392	-70.3224081
Arica y Parinacota	Playa Las Machas--sur	ARENA	No reproductiva	21.01851852	8.871759259	34.85046296	1	21.01851852	8.871759259	34.85046296	-18.4382504	-70.3054619
Arica y Parinacota	Playa Las Machas--sur	ARENA	Reproductiva	21.72368421	14.07960526	30.47368421	1	21.72368421	14.07960526	30.47368421	-18.4382504	-70.3054619
Arica y Parinacota	Playa Chinchorro	ARENA	No reproductiva	2	0	4.625	1	2	0	4.625	-18.4597193	-70.3047856
Arica y Parinacota	Playa Chinchorro	ARENA	Reproductiva	1.416666667	0	3.333333333	1	1.416666667	0	3.333333333	-18.4597193	-70.3047856
Arica y Parinacota	Río San José--Desembocadura	ESTUARIO	No reproductiva	4.206896552	2.24137931	6.930172414	0.7	6.009852217	3.201970443	9.900246305	-18.4684562	-70.3120279
Arica y Parinacota	Río San José--Desembocadura	ESTUARIO	Reproductiva	8.780487805	4.490243902	14.68170732	0.7	12.54355401	6.414634146	20.9738676	-18.4684562	-70.3120279
Arica y Parinacota	Playa Miramar	ESTUARIO	Reproductiva	12.8	1.2	34	1	12.8	1.2	34	-18.4708578	-70.3143239
Arica y Parinacota	Playa Tortuga	ESTUARIO	No reproductiva	0.333333333	0	1	1	0.333333333	0	1	-18.4709821	-70.3143237
Arica y Parinacota	Playa Tortuga	ESTUARIO	Reproductiva	5.416666667	2	9.666666667	1	5.416666667	2	9.666666667	-18.4709821	-70.3143237
Arica y Parinacota	Arica--Puerto	OTRO	No reproductiva	0.058139535	0	0.174418605	0.6	0.096899225	0	0.290697674	-18.4724046	-70.3238511
Arica y Parinacota	Arica--Puerto	OTRO	Reproductiva	0.094674556	0.023668639	0.189201183	0.6	0.157790927	0.039447732	0.315335306	-18.4724046	-70.3238511
Arica y Parinacota	Morro de Arica	ROCA	Reproductiva	0.041666667	0	0.125	0.4	0.104166667	0	0.3125	-18.4805436	-70.3241187
Arica y Parinacota	El Alacrán	ROCA	No reproductiva	1.144736842	0.578947368	1.802631579	0.6	1.907894737	0.964912281	3.004385965	-18.4805859	-70.3318977
Arica y Parinacota	El Alacrán	ROCA	Reproductiva	1.25	0.767857143	1.856026786	0.6	2.083333333	1.279761905	3.093377976	-18.4805859	-70.3318977
Arica y Parinacota	Arica (ciudad)	OTRO	No reproductiva	1.422535211	0	4.309859155	0.55	2.586427657	0	7.836107554	-18.4807487	-70.3091526
Arica y Parinacota	Arica (ciudad)	OTRO	Reproductiva	1.72826087	0.348369565	3.716576087	0.55	3.14229249	0.633399209	6.757411067	-18.4807487	-70.3091526
Arica y Parinacota	Playa El Laucho	ARENA	No reproductiva	0.666666667	0	2	0.38	1.754385965	0	5.263157895	-18.4874921	-70.3264515
Arica y Parinacota	Playa El Laucho	ARENA	Reproductiva	0.272727273	0	0.725	0.38	0.717703349	0	1.907894737	-18.4874921	-70.3264515
Arica y Parinacota	Hoteles Apacheta y Arica	ROCA	No reproductiva	6.897435897	4.449358974	9.832692308	0.3	22.99145299	14.83119658	32.77564103	-18.4907641	-70.3291285
Arica y Parinacota	Hoteles Apacheta y Arica	ROCA	Reproductiva	6.026119403	4.538059701	7.645335821	0.3	20.08706468	15.12686567	25.48445274	-18.4907641	-70.3291285
Arica y Parinacota	Playa La Lisera	ARENA	No reproductiva	4.94047619	2.869345238	7.17827381	0.28	17.64455782	10.24766156	25.63669218	-18.4933642	-70.3262115
Arica y Parinacota	Playa La Lisera	ARENA	Reproductiva	5.415841584	3.525	7.712623762	0.28	19.34229137	12.58928571	27.54508487	-18.4933642	-70.3262115
Arica y Parinacota	Playa Arenillas Negras	ROCA	No reproductiva	14.25	10.5	18	0.6	23.75	17.5	30	-18.4998675	-70.3219306
Arica y Parinacota	Playa Arenillas Negras	ROCA	Reproductiva	4	1.5	7.5	0.6	6.666666667	2.5	12.5	-18.4998675	-70.3219306
Arica y Parinacota	Arica--Playas sur	ROCA	No reproductiva	2.058823529	0.411764706	4.176470588	0.5	4.117647059	0.823529412	8.352941176	-18.5028893	-70.3181648
Arica y Parinacota	Arica--Playas sur	ROCA	Reproductiva	4.3125	0.625	10.75	0.5	8.625	1.25	21.5	-18.5028893	-70.3181648
Arica y Parinacota	Playa Corazones	ROCA	No reproductiva	1.777777778	0.611111111	3.777777778	0.26	6.837606838	2.35042735	14.52991453	-18.5427397	-70.3327265
Arica y Parinacota	Playa Corazones	ROCA	Reproductiva	3.219512195	1.756707317	5.316463415	0.26	12.38273921	6.756566604	20.44793621	-18.5427397	-70.3327265
Arica y Parinacota	Cuevas de Anzota	ROCA	No reproductiva	0.563636364	0	1.490909091	0.6	0.939393939	0	2.484848485	-18.5479645	-70.3306796
Arica y Parinacota	Cuevas de Anzota	ROCA	Reproductiva	1.309859155	0.648239437	2.211267606	0.6	2.183098592	1.080399061	3.685446009	-18.5479645	-70.3306796
Arica y Parinacota	Quebrada de Vitor--Mirador	ESTUARIO	No reproductiva	2.703703704	1.111111111	4.591666667	0.25	10.81481481	4.444444444	18.36666667	-18.7483186	-70.3376484
Arica y Parinacota	Quebrada de Vitor--Mirador	ESTUARIO	Reproductiva	2.647058824	0.882352941	4.764705882	0.25	10.58823529	3.529411765	19.05882353	-18.7483186	-70.3376484
Arica y Parinacota	Río Vitor--Desembocadura	ARENA	No reproductiva	4	0.272727273	10.63636364	1	4	0.272727273	10.63636364	-18.7521791	-70.3343868
Arica y Parinacota	Río Vitor--Desembocadura	ARENA	Reproductiva	1.8	0.3025	3.6975	1	1.8	0.3025	3.6975	-18.7521791	-70.3343868
Arica y Parinacota	Playa de Vitor	ARENA	No reproductiva	0.727272727	0	2	1	0.727272727	0	2	-18.7545599	-70.3376162
Arica y Parinacota	Playa de Vitor	ARENA	Reproductiva	2.466666667	0.733333333	5.066666667	1	2.466666667	0.733333333	5.066666667	-18.7545599	-70.3376162
Arica y Parinacota	Río Camarones--Desembocadura	ESTUARIO	No reproductiva	1.210526316	0.157894737	2.788157895	1	1.210526316	0.157894737	2.788157895	-19.1863129	-70.2715158
Arica y Parinacota	Río Camarones--Desembocadura	ESTUARIO	Reproductiva	3.185185185	1.407407407	5.037037037	1	3.185185185	1.407407407	5.037037037	-19.1863129	-70.2715158
Tarapacá	Caleta Camarones	ESTUARIO	No reproductiva	1	0.142857143	2.071428571	1	1	0.142857143	2.071428571	-19.1924331	-70.2698421
Tarapacá	Caleta Camarones	ESTUARIO	Reproductiva	2.482758621	0.551724138	5.03362069	1	2.482758621	0.551724138	5.03362069	-19.1924331	-70.2698421
Tarapacá	Pisagua	OTRO	No reproductiva	0	0	0	0	0	0	0	-19.5959788	-70.2106619
Tarapacá	Pisagua	OTRO	Reproductiva	0	0	0	0	0	0	0	-19.5959788	-70.2106619
Tarapacá	Playa El Colorado	ARENA	Reproductiva	2.25	0	4.5	0.94	2.393617021	0	4.787234043	-20.2046209	-70.1434498
Tarapacá	Iquique--Puerto	ARENA	No reproductiva	0.727272727	0	1.636363636	0.11	6.611570248	0	14.87603306	-20.2085545	-70.151318
Tarapacá	Iquique--Puerto	ARENA	Reproductiva	0.071428571	0	0.19047619	0.11	0.649350649	0	1.731601732	-20.2085545	-70.151318
Tarapacá	Iquique--Caleta Riquelme	OTRO	Reproductiva	0.111111111	0	0.333333333	0.14	0.793650794	0	2.380952381	-20.2103506	-70.1527705
Tarapacá	Iquique--Caleta Riquelme	OTRO	No reproductiva	0	0	0	0.14	0	0	0	-20.2103506	-70.1527705
Tarapacá	Iquique--Muelle Prat	OTRO	Reproductiva	0.25	0	0.666666667	0.22	1.136363636	0	3.03030303	-20.2110095	-70.1537914
Tarapacá	Iquique--Muelle Prat	OTRO	No reproductiva	0	0	0	0.22	0	0	0	-20.2110095	-70.1537914
Tarapacá	Iquique--Roqueríos	OTRO	No reproductiva	2.222222222	0	5.555555556	0.47	4.728132388	0	11.82033097	-20.215497	-70.1584125
Tarapacá	Iquique--Roqueríos	OTRO	Reproductiva	1.8	0.2	3.9	0.47	3.829787234	0.425531915	8.29787234	-20.215497	-70.1584125
Tarapacá	Iquique--Playa Bellavista	ARENA	No reproductiva	0.285714286	0	0.857142857	0.23	1.242236025	0	3.726708075	-20.2172296	-70.1560049
Tarapacá	Iquique--Playa Bellavista	ARENA	Reproductiva	0.5	0	1	0.23	2.173913043	0	4.347826087	-20.2172296	-70.1560049
Tarapacá	Iquique--Costanera	ARENA	No reproductiva	0.2	0	0.55	0.2	1	0	2.75	-20.2193952	-70.1549149
Tarapacá	Iquique--Costanera	ARENA	Reproductiva	1.2	0.466666667	2.065833333	0.2	6	2.333333333	10.32916667	-20.2193952	-70.1549149
Tarapacá	Iquique	ROCA	Reproductiva	0.086956522	0	0.260869565	0.5	0.173913043	0	0.52173913	-20.2218732	-70.1407528
Tarapacá	Monumento Arturo Prat	OTRO	No reproductiva	0.875	0	2.625	0.2	4.375	0	13.125	-20.222496	-70.1525545
Tarapacá	Monumento Arturo Prat	OTRO	Reproductiva	2.166666667	0	4.5	0.2	10.83333333	0	22.5	-20.222496	-70.1525545
Tarapacá	Paseo Balmaceda	ROCA	Reproductiva	0.666666667	0.149074074	1.29537037	0.6	1.111111111	0.24845679	2.158950617	-20.2265633	-70.1495075
Tarapacá	Paseo Balmaceda	ROCA	No reproductiva	0	0	0	0.6	0	0	0	-20.2265633	-70.1495075
Tarapacá	Playa Cavancha	ARENA	No reproductiva	2.290322581	0.483870968	4.709677419	1	2.290322581	0.483870968	4.709677419	-20.2325632	-70.1476192
Tarapacá	Playa Cavancha	ARENA	Reproductiva	0.125	0.021354167	0.25	1	0.125	0.021354167	0.25	-20.2325632	-70.1476192
Tarapacá	Península Cavancha	OTRO	No reproductiva	2.038461538	0.712019231	3.711057692	0.85	2.398190045	0.837669683	4.365950226	-20.2357846	-70.1519966
Tarapacá	Península Cavancha	OTRO	Reproductiva	3.397260274	2.178767123	4.889726027	0.85	3.996776793	2.563255439	5.752618856	-20.2357846	-70.1519966
Tarapacá	Estación Buque Varado	ARENA	No reproductiva	1.666666667	0	4.333333333	1	1.666666667	0	4.333333333	-20.2387038	-70.1488853
Tarapacá	Estación Buque Varado	ARENA	Reproductiva	0.52173913	0.173913043	0.913043478	1	0.52173913	0.173913043	0.913043478	-20.2387038	-70.1488853
Tarapacá	Playa Brava	ARENA	No reproductiva	0.366666667	0.066666667	0.766666667	1	0.366666667	0.066666667	0.766666667	-20.2441598	-70.1437569
Tarapacá	Playa Brava	ARENA	Reproductiva	0.25	0.045454545	0.5	1	0.25	0.045454545	0.5	-20.2441598	-70.1437569
Tarapacá	Playa Primeras Piedras	ROCA	No reproductiva	1.777777778	0.666666667	3.111111111	0.45	3.950617284	1.481481481	6.913580247	-20.2617074	-70.1334795
Tarapacá	Playa Primeras Piedras	ROCA	Reproductiva	0.666666667	0	2	0.45	1.481481481	0	4.444444444	-20.2617074	-70.1334795
Tarapacá	Campus Huayquique - UNAP	ROCA	No reproductiva	3.75	0	11.25	0.55	6.818181818	0	20.45454545	-20.2707621	-70.1298416
Tarapacá	Campus Huayquique - UNAP	ROCA	Reproductiva	3.3	0.8	6.6	0.55	6	1.454545455	12	-20.2707621	-70.1298416
Tarapacá	Playa Huayquique	ARENA	No reproductiva	24.58333333	0.916666667	55.4	1	24.58333333	0.916666667	55.4	-20.2798701	-70.1298094
Tarapacá	Playa Huayquique	ARENA	Reproductiva	2	1.15	2.95	1	2	1.15	2.95	-20.2798701	-70.1298094
Tarapacá	Humedal Urbano Playa Blanca	ROCA	No reproductiva	1	0	2	0.6	1.666666667	0	3.333333333	-20.3264933	-70.1437024
Tarapacá	Humedal Urbano Playa Blanca	ROCA	Reproductiva	4.333333333	1	10	0.6	7.222222222	1.666666667	16.66666667	-20.3264933	-70.1437024
Tarapacá	Punta Gruesa	ROCA	No reproductiva	1.5	0	4.166666667	0.46	3.260869565	0	9.057971014	-20.363065	-70.1818603
Tarapacá	Punta Gruesa	ROCA	Reproductiva	1.571428571	0.428571429	2.857142857	0.46	3.416149068	0.931677019	6.211180124	-20.363065	-70.1818603
Tarapacá	Playa Lobito	ROCA	Reproductiva	1	0	3	0.6	1.666666667	0	5	-20.3751647	-70.1804495
Tarapacá	Los Verdes	ROCA	No reproductiva	1.625	0	4	0.45	3.611111111	0	8.888888889	-20.4271134	-70.1639915
Tarapacá	Los Verdes	ROCA	Reproductiva	1.578947368	0.790789474	2.526315789	0.45	3.50877193	1.757309942	5.614035088	-20.4271134	-70.1639915
Tarapacá	Playa Verde	ROCA	Reproductiva	0.333333333	0	1	0.2	1.666666667	0	5	-20.4531917	-70.1596034
Tarapacá	Yape	ROCA	Reproductiva	0.4	0	1.2	0.37	1.081081081	0	3.243243243	-20.6617241	-70.1830029
Tarapacá	Chanavayita	ARENA	No reproductiva	0.96	0.401	1.6	0.38	2.526315789	1.055263158	4.210526316	-20.7031858	-70.1883996
Tarapacá	Chanavayita	ARENA	Reproductiva	3.192307692	1.577884615	5.076923077	0.38	8.400809717	4.152327935	13.36032389	-20.7031858	-70.1883996
Tarapacá	Punta Patillos	ROCA	No reproductiva	0	0	0	0	0	0	0	-20.7526822	-70.1996866
Tarapacá	Punta Patillos	ROCA	Reproductiva	0	0	0	0	0	0	0	-20.7526822	-70.1996866
Tarapacá	Patillos	ARENA	Reproductiva	0.666666667	0	2	0.4	1.666666667	0	5	-20.7535308	-70.1812005
Tarapacá	Punta Patache	ROCA	No reproductiva	5.216216216	2.189189189	9.485135135	0.6	8.693693694	3.648648649	15.80855856	-20.8110673	-70.2054906
Tarapacá	Punta Patache	ROCA	Reproductiva	3.423076923	2.365865385	4.653365385	0.6	5.705128205	3.943108974	7.755608974	-20.8110673	-70.2054906
Tarapacá	Playa Chauca	ARENA	No reproductiva	27.66666667	10.16666667	49.29791667	1	27.66666667	10.16666667	49.29791667	-20.8242393	-70.1844406
Tarapacá	Playa Chauca	ARENA	Reproductiva	11.82352941	2.177941176	28.11617647	1	11.82352941	2.177941176	28.11617647	-20.8242393	-70.1844406
Tarapacá	Playa Chanavaya	ARENA	No reproductiva	0.692307692	0.230769231	1.230769231	0.62	1.11662531	0.372208437	1.985111663	-20.8934966	-70.1364183
Tarapacá	Playa Chanavaya	ARENA	Reproductiva	1.153846154	0.461538462	2.151923077	0.62	1.861042184	0.744416873	3.470843672	-20.8934966	-70.1364183
Tarapacá	Pabellón de Pica	ROCA	No reproductiva	0.090909091	0	0.272727273	0.6	0.151515152	0	0.454545455	-20.9129621	-70.1388645
Tarapacá	Pabellón de Pica	ROCA	Reproductiva	0.12	0	0.32	0.6	0.2	0	0.533333333	-20.9129621	-70.1388645
Tarapacá	Río Seco	ROCA	No reproductiva	0.5	0	1.5	0.6	0.833333333	0	2.5	-20.9800588	-70.1550651
Tarapacá	Río Seco	ROCA	Reproductiva	1	0	2.714285714	0.6	1.666666667	0	4.523809524	-20.9800588	-70.1550651
Tarapacá	San Marcos	ARENA	No reproductiva	3	0.111111111	8.552777778	0.77	3.896103896	0.144300144	11.10750361	-21.1122367	-70.1212478
Tarapacá	San Marcos	ARENA	Reproductiva	3.7	0.2	10.2	0.77	4.805194805	0.25974026	13.24675325	-21.1122367	-70.1212478
Tarapacá	Playa Ike Ike	ARENA	No reproductiva	2.8	0	8.4	0.7	4	0	12	-21.1605608	-70.1113987
Tarapacá	Playa Ike Ike	ARENA	Reproductiva	4.5	0	11.25	0.7	6.428571429	0	16.07142857	-21.1605608	-70.1113987
Tarapacá	Playa Boca del Diablo	ARENA	Reproductiva	2.666666667	0	8	1	2.666666667	0	8	-21.1797699	-70.1027298
Tarapacá	Punta Huanillos	ROCA	Reproductiva	0	0	0	0	0	0	0	-21.2055383	-70.0941467
Tarapacá	Playa Chipana	ARENA	No reproductiva	12.8	0	36.78	1	12.8	0	36.78	-21.2976914	-70.0639343
Tarapacá	Playa Chipana	ARENA	Reproductiva	4.571428571	0	10.85714286	1	4.571428571	0	10.85714286	-21.2976914	-70.0639343
Tarapacá	Caleta Chipana	ARENA	No reproductiva	0.8	0	2.4	0.8	1	0	3	-21.3390145	-70.0952733
Tarapacá	Caleta Chipana	ARENA	Reproductiva	4.333333333	1	6	0.8	5.416666667	1.25	7.5	-21.3390145	-70.0952733
Tarapacá	Río Loa--Desembocadura	ESTUARIO	No reproductiva	3.733333333	2.378333333	5.422222222	0.5	7.466666667	4.756666667	10.84444444	-21.4292013	-70.0585485
Tarapacá	Río Loa--Desembocadura	ESTUARIO	Reproductiva	9.129032258	5.710483871	13.32137097	0.5	18.25806452	11.42096774	26.64274194	-21.4292013	-70.0585485
Antofagasta	Río Loa—Humedal	ESTUARIO	No reproductiva	11	5.002083333	19.1625	0.5	22	10.00416667	38.325	-21.4298335	-70.0569149
Antofagasta	Río Loa—Humedal	ESTUARIO	Reproductiva	9	4.8	14.4	0.5	18	9.6	28.8	-21.4298335	-70.0569149
Antofagasta	Caleta Urco	ROCA	Reproductiva	3	0	9	0.58	5.172413793	0	15.51724138	-21.7577168	-70.1536703
Antofagasta	Túnel Galleguillos--Norte	ROCA	Reproductiva	0.8	0	2.4	0.5	1.6	0	4.8	-21.8947774	-70.1675963
Antofagasta	Tocopilla	ARENA	No reproductiva	0.046511628	0	0.139534884	0.35	0.132890365	0	0.398671096	-22.0890598	-70.1972723
Antofagasta	Tocopilla	ARENA	Reproductiva	0.428571429	0	1.238095238	0.35	1.224489796	0	3.537414966	-22.0890598	-70.1972723
Antofagasta	Playa Covadonga	ARENA	Reproductiva	0	0	0	0	0	0	0	-22.1119031	-70.2132368
Antofagasta	Caleta Buena	ROCA	No reproductiva	0.6	0	1.4	0.6	1	0	2.333333333	-22.4312066	-70.2572036
Antofagasta	Caleta Buena	ROCA	Reproductiva	1	0	2.4	0.6	1.666666667	0	4	-22.4312066	-70.2572036
Antofagasta	Gatico	ROCA	No reproductiva	0.6	0	1.8	0.6	1	0	3	-22.5010323	-70.2381814
Antofagasta	Hornitos (Antofagasta)--Norte	ARENA	No reproductiva	3.6	1.533333333	6	1	3.6	1.533333333	6	-22.8578274	-70.2953339
Antofagasta	Hornitos (Antofagasta)--Norte	ARENA	Reproductiva	4.166666667	1	7.995833333	1	4.166666667	1	7.995833333	-22.8578274	-70.2953339
Antofagasta	Hornitos (Antofagasta)--Playa Grande	ARENA	Reproductiva	5.133333333	0.6	12.6	1	5.133333333	0.6	12.6	-22.8860045	-70.2886679
Antofagasta	Hornitos (Antofagasta)--Playa Chica	ROCA	No reproductiva	10.88888889	2	24.22222222	0.6	18.14814815	3.333333333	40.37037037	-22.9186641	-70.2927428
Antofagasta	Hornitos (Antofagasta)--Playa Chica	ROCA	Reproductiva	3.355555556	0.466666667	7.133333333	0.6	5.592592593	0.777777778	11.88888889	-22.9186641	-70.2927428
Antofagasta	Punta Hornos	ROCA	No reproductiva	21	5	46	0.6	35	8.333333333	76.66666667	-22.9209085	-70.3013634
Antofagasta	Punta Hornos	ROCA	Reproductiva	21.27272727	5.909090909	43.81590909	0.6	35.45454545	9.848484848	73.02651515	-22.9209085	-70.3013634
Antofagasta	Punta Itata	ARENA	No reproductiva	31.25	16.2515625	52.8078125	1	31.25	16.2515625	52.8078125	-22.9333438	-70.3074437
Antofagasta	Punta Itata	ARENA	Reproductiva	33.25	14.91875	53.40625	1	33.25	14.91875	53.40625	-22.9333438	-70.3074437
Antofagasta	Playa Chacaya	ARENA	No reproductiva	8.166666667	0.166666667	18.83333333	1	8.166666667	0.166666667	18.83333333	-22.9604481	-70.3080797
Antofagasta	Playa Chacaya	ARENA	Reproductiva	15.4	3	31.6	1	15.4	3	31.6	-22.9604481	-70.3080797
Antofagasta	Mejillones--Playa Grande	ARENA	No reproductiva	21.4	2.4	43.9825	1	21.4	2.4	43.9825	-23.0057103	-70.3349501
Antofagasta	Mejillones--Playa Grande	ARENA	Reproductiva	5.545454545	1.454545455	10.90681818	1	5.545454545	1.454545455	10.90681818	-23.0057103	-70.3349501
Antofagasta	Punta Angamos	ARENA	No reproductiva	9.4	0	25.4	0.8	11.75	0	31.75	-23.0261641	-70.5163559
Antofagasta	Punta Angamos	ARENA	Reproductiva	10.81818182	4	18.72045455	0.8	13.52272727	5	23.40056818	-23.0261641	-70.5163559
Antofagasta	Playa Kelar	ARENA	Reproductiva	21	0	33	1	21	0	33	-23.0425361	-70.3597498
Antofagasta	Mejillones--Costanera oriente	ARENA	No reproductiva	11	8	14	1	11	8	14	-23.0752183	-70.3944445
Antofagasta	Mejillones--Costanera oriente	ARENA	Reproductiva	10.625	6.628125	13.75	1	10.625	6.628125	13.75	-23.0752183	-70.3944445
Antofagasta	Mejillones--Barrio Industrial	ARENA	No reproductiva	0.625	0	1.875	0.7	0.892857143	0	2.678571429	-23.0877082	-70.4120935
Antofagasta	Mejillones--Barrio Industrial	ARENA	Reproductiva	24.95833333	14.25208333	36.49479167	0.7	35.6547619	20.36011905	52.13541667	-23.0877082	-70.4120935
Antofagasta	Mejillones--Sector COPEC	ARENA	Reproductiva	2	0	6	1	2	0	6	-23.0897089	-70.3978179
Antofagasta	Mejillones--Playa	ARENA	No reproductiva	4.055555556	2.055555556	6.388888889	0.9	4.50617284	2.283950617	7.098765432	-23.0910425	-70.4216874
Antofagasta	Mejillones--Playa	ARENA	Reproductiva	10.38461538	4.848076923	17.30769231	0.9	11.53846154	5.386752137	19.23076923	-23.0910425	-70.4216874
Antofagasta	Mejillones--Costanera Industrial	ARENA	No reproductiva	20.66666667	0	50	1	20.66666667	0	50	-23.0949972	-70.4328108
Antofagasta	Mejillones--Costanera Industrial	ARENA	Reproductiva	33.26923077	17.81057692	52.68365385	1	33.26923077	17.81057692	52.68365385	-23.0949972	-70.4328108
Antofagasta	Mejillones--Muelle Artesanal	ARENA	No reproductiva	2.416666667	0.583333333	5.08125	1	2.416666667	0.583333333	5.08125	-23.0981695	-70.4508425
